ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
145,Andrés Cubas,py PAR,MF,Nîmes,24,1996,27,27,"2,242",24.9,1,0,1,1,0,0,6,1,0.04,0.0,0.04,0.04,0.04,Matches,https://fbref.com/en/players/9b40a6ea/Andres-Cubas,https://fbref.com/req/202302030/images/headshots/9b40a6ea_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Andrés_Cubas.jpg
146,Mickaël Cuisance,fr FRA,"MF,FW",Marseille,20,1999,23,11,"1,024",11.4,2,1,3,2,0,0,3,0,0.18,0.09,0.26,0.18,0.26,Matches,https://fbref.com/en/players/5722eced/Mickael-Cuisance,https://fbref.com/req/202302030/images/headshots/5722eced_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mickaël_Cuisance.jpg
147,Damien Da Silva,fr FRA,DF,Rennes,32,1988,30,30,"2,661",29.6,4,0,4,4,0,0,7,1,0.14,0.0,0.14,0.14,0.14,Matches,https://fbref.com/en/players/1ec7e1c5/Damien-Da-Silva,https://fbref.com/req/202302030/images/headshots/1ec7e1c5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Damien_Da_Silva.jpg
148,Colin Dagba,fr FRA,DF,Paris Saint-Germain,21,1998,25,15,"1,357",15.1,1,2,3,1,0,0,3,0,0.07,0.13,0.2,0.07,0.2,Matches,https://fbref.com/en/players/29c02c9f/Colin-Dagba,https://fbref.com/req/202302030/images/headshots/29c02c9f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Colin_Dagba.jpg
149,Flavius Daniliuc,at AUT,DF,Nice,19,2001,23,15,"1,477",16.4,1,0,1,1,0,0,0,0,0.06,0.0,0.06,0.06,0.06,Matches,https://fbref.com/en/players/7ef972c3/Flavius-Daniliuc,https://fbref.com/req/202302030/images/headshots/7ef972c3_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Flavius_Daniliuc.jpg
150,Dante,br BRA,DF,Nice,36,1983,9,9,774,8.6,2,1,3,2,0,0,2,0,0.23,0.12,0.35,0.23,0.35,Matches,https://fbref.com/en/players/fd2bc67d/Dante,https://fbref.com/req/202302030/images/headshots/fd2bc67d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dante.jpg
151,Jonathan David,ca CAN,FW,Lille,20,2000,37,29,"2,354",26.2,13,2,15,13,0,0,0,0,0.5,0.08,0.57,0.5,0.57,Matches,https://fbref.com/en/players/ce50fd99/Jonathan-David,https://fbref.com/req/202302030/images/headshots/ce50fd99_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jonathan_David.jpg
152,Mattia De Sciglio,it ITA,DF,Lyon,27,1992,29,14,"1,467",16.3,0,1,1,0,0,0,4,1,0.0,0.06,0.06,0.0,0.06,Matches,https://fbref.com/en/players/ae4e2852/Mattia-De-Sciglio,https://fbref.com/req/202302030/images/headshots/ae4e2852_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mattia_De_Sciglio.jpg
153,Thibault De Smet,be BEL,DF,Reims,22,1998,8,6,496,5.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/5fdcb075/Thibault-De-Smet,https://fbref.com/req/202302030/images/headshots/5fdcb075_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Thibault_De_Smet.jpg
154,Lucas Deaux,fr FRA,"MF,DF",Nîmes,31,1988,25,19,"1,754",19.5,1,2,3,1,0,0,4,1,0.05,0.1,0.15,0.05,0.15,Matches,https://fbref.com/en/players/44f8c299/Lucas-Deaux,https://fbref.com/req/202302030/images/headshots/44f8c299_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lucas_Deaux.jpg
155,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,35,1985,26,25,"2,103",23.4,2,1,3,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,Matches,https://fbref.com/en/players/92232aad/Mathieu-Debuchy,https://fbref.com/req/202302030/images/headshots/92232aad_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mathieu_Debuchy.jpg
156,Romain Del Castillo,fr FRA,"MF,FW",Rennes,24,1996,26,5,652,7.2,0,5,5,0,0,0,2,0,0.0,0.69,0.69,0.0,0.69,Matches,https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,https://fbref.com/req/202302030/images/headshots/0be95d34_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Romain_Del_Castillo.jpg
157,Thomas Delaine,fr FRA,"MF,DF",Metz,28,1992,24,19,"1,779",19.8,3,2,5,3,0,0,4,0,0.15,0.1,0.25,0.15,0.25,Matches,https://fbref.com/en/players/8332db56/Thomas-Delaine,https://fbref.com/req/202302030/images/headshots/8332db56_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Thomas_Delaine.jpg
158,Jonathan Delaplace,fr FRA,DF,Lorient,34,1986,18,9,906,10.1,0,1,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1,Matches,https://fbref.com/en/players/79685569/Jonathan-Delaplace,https://fbref.com/req/202302030/images/headshots/79685569_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jonathan_Delaplace.jpg
159,Sacha Delaye,fr FRA,MF,Montpellier,18,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/e4448c8c/Sacha-Delaye,https://fbref.com/req/202302030/images/headshots/e4448c8c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sacha_Delaye.jpg
160,Andy Delort,dz ALG,FW,Montpellier,28,1991,30,30,"2,482",27.6,15,9,24,15,0,1,4,0,0.54,0.33,0.87,0.54,0.87,Matches,https://fbref.com/en/players/d33c706e/Andy-Delort,https://fbref.com/req/202302030/images/headshots/d33c706e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Andy_Delort.jpg
161,Moussa Dembélé,fr FRA,FW,Lyon,24,1996,16,6,677,7.5,1,0,1,1,0,0,3,0,0.13,0.0,0.13,0.13,0.13,Matches,https://fbref.com/en/players/e7986081/Moussa-Dembele,https://fbref.com/req/202302030/images/headshots/e7986081_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Moussa_Dembélé.jpg
162,Jason Denayer,be BEL,DF,Lyon,25,1995,31,31,"2,614",29.0,1,0,1,1,0,0,1,0,0.03,0.0,0.03,0.03,0.03,Matches,https://fbref.com/en/players/47af88b8/Jason-Denayer,https://fbref.com/req/202302030/images/headshots/47af88b8_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jason_Denayer.jpg
163,Kévin Denkey,tg TOG,FW,Nîmes,19,2000,10,6,524,5.8,1,1,2,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches,https://fbref.com/en/players/0d3585b5/Kevin-Denkey,https://fbref.com/req/202302030/images/headshots/0d3585b5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kévin_Denkey.jpg
164,Clément Depres,fr FRA,FW,Nîmes,25,1994,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/e53ab10b/Clement-Depres,https://fbref.com/req/202302030/images/headshots/e53ab10b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Clément_Depres.jpg
165,Ángel Di María,ar ARG,"FW,MF",Paris Saint-Germain,32,1988,27,23,"1,853",20.6,5,9,14,5,0,0,1,0,0.24,0.44,0.68,0.24,0.68,Matches,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,https://fbref.com/req/202302030/images/headshots/19cda00b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ángel_Di_María.jpg
166,Boulaye Dia,sn SEN,FW,Reims,23,1996,36,35,"2,930",32.6,14,1,15,9,5,5,2,0,0.43,0.03,0.46,0.28,0.31,Matches,https://fbref.com/en/players/244bc2c8/Boulaye-Dia,https://fbref.com/req/202302030/images/headshots/244bc2c8_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Boulaye_Dia.jpg
167,Abdou Diallo,sn SEN,DF,Paris Saint-Germain,24,1996,22,17,"1,490",16.6,0,1,1,0,0,0,3,2,0.0,0.06,0.06,0.0,0.06,Matches,https://fbref.com/en/players/fc62f087/Abdou-Diallo,https://fbref.com/req/202302030/images/headshots/fc62f087_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Abdou_Diallo.jpg
168,Habib Diallo,sn SEN,"FW,MF",Strasbourg,25,1995,32,27,"2,322",25.8,9,3,12,8,1,1,2,0,0.35,0.12,0.47,0.31,0.43,Matches,https://fbref.com/en/players/6605d143/Habib-Diallo,https://fbref.com/req/202302030/images/headshots/6605d143_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Habib_Diallo.jpg
169,Habib Diallo,sn SEN,FW,Metz,25,1995,4,1,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/6605d143/Habib-Diallo,https://fbref.com/req/202302030/images/headshots/6605d143_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Habib_Diallo.jpg
170,Ibrahima Diallo,fr FRA,MF,Brest,21,1999,5,5,440,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,https://fbref.com/req/202302030/images/headshots/11ff3d56_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ibrahima_Diallo.jpg
171,Stéphane Diarra,fr FRA,"MF,FW",Lorient,21,1998,13,2,197,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/29939a1d/Stephane-Diarra,https://fbref.com/req/202302030/images/headshots/29939a1d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Stéphane_Diarra.jpg
172,Krépin Diatta,sn SEN,MF,Monaco,21,1999,12,3,389,4.3,1,0,1,1,0,0,3,0,0.23,0.0,0.23,0.23,0.23,Matches,https://fbref.com/en/players/8104e41e/Krepin-Diatta,https://fbref.com/req/202302030/images/headshots/8104e41e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Krépin_Diatta.jpg
173,Bamba Dieng,sn SEN,FW,Marseille,20,2000,5,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/40774c6b/Bamba-Dieng,https://fbref.com/req/202302030/images/headshots/40774c6b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Bamba_Dieng.jpg
174,Junior Dina Ebimbe,cm CMR,"MF,FW",Dijon,19,2000,30,25,"2,144",23.8,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches,https://fbref.com/en/players/95bb6ddc/Junior-Dina-Ebimbe,https://fbref.com/req/202302030/images/headshots/95bb6ddc_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Junior_Dina_Ebimbe.jpg
175,Tristan Dingomé,cm CMR,"DF,MF",Reims,29,1991,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/92b56413/Tristan-Dingome,https://fbref.com/req/202302030/images/headshots/92b56413_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Tristan_Dingomé.jpg
176,Sinaly Diomande,ci CIV,DF,Lyon,19,2001,27,10,"1,133",12.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/6de23ab0/Sinaly-Diomande,https://fbref.com/req/202302030/images/headshots/6de23ab0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sinaly_Diomande.jpg
177,Lois Diony,fr FRA,FW,Angers,27,1992,36,20,"1,749",19.4,5,1,6,4,1,1,2,0,0.26,0.05,0.31,0.21,0.26,Matches,https://fbref.com/en/players/4be0b467/Lois-Diony,https://fbref.com/req/202302030/images/headshots/4be0b467_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lois_Diony.jpg
178,Sofiane Diop,ma MAR,MF,Monaco,20,2000,32,24,"2,023",22.5,7,1,8,7,0,0,4,0,0.31,0.04,0.36,0.31,0.36,Matches,https://fbref.com/en/players/19053e31/Sofiane-Diop,https://fbref.com/req/202302030/images/headshots/19053e31_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sofiane_Diop.jpg
179,Andy Diouf,fr FRA,MF,Rennes,17,2003,1,0,12,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/9b5237b1/Andy-Diouf,https://fbref.com/req/202302030/images/headshots/9b5237b1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Andy_Diouf.jpg
180,Yehvann Diouf,sn SEN,GK,Reims,20,1999,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,https://fbref.com/req/202302030/images/headshots/eedea60b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yehvann_Diouf.jpg
181,Assane Dioussé,sn SEN,MF,Saint-Étienne,22,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7f622eef/Assane-Diousse,https://fbref.com/req/202302030/images/headshots/7f622eef_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Assane_Dioussé.jpg
182,Axel Disasi,fr FRA,DF,Monaco,22,1998,29,24,"2,011",22.3,3,0,3,3,0,0,4,2,0.13,0.0,0.13,0.13,0.13,Matches,https://fbref.com/en/players/ad82197c/Axel-Disasi,https://fbref.com/req/202302030/images/headshots/ad82197c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Axel_Disasi.jpg
183,Tiago Djaló,pt POR,DF,Lille,20,2000,17,8,873,9.7,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/b2336681/Tiago-Djalo,https://fbref.com/req/202302030/images/headshots/b2336681_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Tiago_Djaló.jpg
184,Alexander Djiku,gh GHA,"DF,MF",Strasbourg,25,1994,30,29,"2,552",28.4,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/43e7a164/Alexander-Djiku,https://fbref.com/req/202302030/images/headshots/43e7a164_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Alexander_Djiku.jpg
185,Mihai Dobre,ro ROU,"MF,FW",Dijon,21,1998,22,4,529,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a1f3f5a0/Mihai-Dobre,https://fbref.com/req/202302030/images/headshots/a1f3f5a0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mihai_Dobre.jpg
186,Jeremy Doku,be BEL,"MF,FW",Rennes,18,2002,30,26,"2,313",25.7,2,3,5,2,0,0,1,1,0.08,0.12,0.19,0.08,0.19,Matches,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,https://fbref.com/req/202302030/images/headshots/fffea3e5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jeremy_Doku.jpg
187,Kasper Dolberg,dk DEN,FW,Nice,22,1997,25,21,"1,928",21.4,6,2,8,4,2,2,2,0,0.28,0.09,0.37,0.19,0.28,Matches,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg,https://fbref.com/req/202302030/images/headshots/cc83b74d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kasper_Dolberg.jpg
188,Keagan Dolly,za RSA,MF,Montpellier,27,1993,18,3,452,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/ccb1c3af/Keagan-Dolly,https://fbref.com/req/202302030/images/headshots/ccb1c3af_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Keagan_Dolly.jpg
189,Anastasios Donis,gr GRE,MF,Reims,23,1996,3,1,97,1.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0f26fd24/Anastasios-Donis,https://fbref.com/req/202302030/images/headshots/0f26fd24_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Anastasios_Donis.jpg
190,Cheick Doucouré,ml MLI,MF,Lens,20,2000,33,30,"2,627",29.2,2,1,3,2,0,0,8,0,0.07,0.03,0.1,0.07,0.1,Matches,https://fbref.com/en/players/ce4f40c7/Cheick-Doucoure,https://fbref.com/req/202302030/images/headshots/ce4f40c7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Cheick_Doucouré.jpg
191,Fodé Doucouré,ml MLI,DF,Reims,19,2001,7,3,333,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/1bfe34dc/Fode-Doucoure,https://fbref.com/req/202302030/images/headshots/1bfe34dc_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Fodé_Doucouré.jpg
192,Mahamadou Doucouré,ml MLI,FW,Nîmes,20,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/9826ea33/Mahamadou-Doucoure,,
193,Moussa Doumbia,ml MLI,"MF,FW",Reims,25,1994,23,9,899,10.0,0,1,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,Matches,https://fbref.com/en/players/6481421d/Moussa-Doumbia,https://fbref.com/req/202302030/images/headshots/6481421d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Moussa_Doumbia.jpg
194,Souleyman Doumbia,ci CIV,DF,Angers,23,1996,27,24,"2,222",24.7,0,1,1,0,0,0,8,0,0.0,0.04,0.04,0.0,0.04,Matches,https://fbref.com/en/players/9daeac61/Souleyman-Doumbia,https://fbref.com/req/202302030/images/headshots/9daeac61_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Souleyman_Doumbia.jpg
195,Mouhamadou Drammeh,gm GAM,MF,Reims,21,1999,6,1,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/309937e7/Mouhamadou-Drammeh,https://fbref.com/req/202302030/images/headshots/309937e7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mouhamadou_Drammeh.jpg
196,Julian Draxler,de GER,MF,Paris Saint-Germain,26,1993,24,12,"1,064",11.8,4,3,7,4,0,0,3,0,0.34,0.25,0.59,0.34,0.59,Matches,https://fbref.com/en/players/1a992676/Julian-Draxler,https://fbref.com/req/202302030/images/headshots/1a992676_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Julian_Draxler.jpg
197,Matthieu Dreyer,fr FRA,GK,Lorient,31,1989,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/fbf83734/Matthieu-Dreyer,https://fbref.com/req/202302030/images/headshots/fbf83734_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Matthieu_Dreyer.jpg
198,Leo Dubois,fr FRA,"DF,MF",Lyon,25,1994,37,35,"2,903",32.3,2,4,6,2,0,0,3,0,0.06,0.12,0.19,0.06,0.19,Matches,https://fbref.com/en/players/ff0ab48c/Leo-Dubois,https://fbref.com/req/202302030/images/headshots/ff0ab48c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Leo_Dubois.jpg
199,Haris Duljević,ba BIH,"MF,FW",Nîmes,26,1993,20,8,773,8.6,0,2,2,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,Matches,https://fbref.com/en/players/9b6556d2/Haris-Duljevic,https://fbref.com/req/202302030/images/headshots/9b6556d2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Haris_Duljević.jpg
200,Jean-Kevin Duverne,ht HAI,DF,Brest,23,1997,27,22,"2,029",22.5,1,0,1,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04,Matches,https://fbref.com/en/players/0cbc8baa/Jean-Kevin-Duverne,https://fbref.com/req/202302030/images/headshots/0cbc8baa_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean-Kevin_Duverne.jpg
201,Enzo Ebosse,cm CMR,DF,Angers,21,1999,6,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/9ba7b4fa/Enzo-Ebosse,https://fbref.com/req/202302030/images/headshots/9ba7b4fa_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Enzo_Ebosse.jpg
202,Bruno Ecuele Manga,ga GAB,DF,Dijon,32,1988,38,38,"3,420",38.0,2,0,2,2,0,0,3,0,0.05,0.0,0.05,0.05,0.05,Matches,https://fbref.com/en/players/72a0fb65/Bruno-Ecuele-Manga,https://fbref.com/req/202302030/images/headshots/72a0fb65_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Bruno_Ecuele_Manga.jpg
203,Hugo Ekitike,fr FRA,FW,Reims,18,2002,2,0,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/5b92d896/Hugo-Ekitike,https://fbref.com/req/202302030/images/headshots/5b92d896_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hugo_Ekitike.jpg
204,Niclas Eliasson,se SWE,"MF,FW",Nîmes,24,1995,30,19,"1,799",20.0,4,3,7,4,0,0,1,0,0.2,0.15,0.35,0.2,0.35,Matches,https://fbref.com/en/players/0033fb1b/Niclas-Eliasson,https://fbref.com/req/202302030/images/headshots/0033fb1b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Niclas_Eliasson.jpg
205,Renaud Emond,be BEL,FW,Nantes,28,1991,22,3,354,3.9,2,0,2,2,0,0,1,0,0.51,0.0,0.51,0.51,0.51,Matches,https://fbref.com/en/players/5c9ac7f0/Renaud-Emond,https://fbref.com/req/202302030/images/headshots/5c9ac7f0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Renaud_Emond.jpg
206,Yoann Etienne,fr FRA,DF,Lorient,23,1997,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a59d55b1/Yoann-Etienne,,
207,Fábio,br BRA,DF,Nantes,30,1990,22,19,"1,507",16.7,0,1,1,0,0,0,5,1,0.0,0.06,0.06,0.0,0.06,Matches,https://fbref.com/en/players/bc7b4580/Fabio,https://fbref.com/req/202302030/images/headshots/bc7b4580_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Fábio.jpg
208,Cesc Fàbregas,es ESP,MF,Monaco,33,1987,21,7,877,9.7,2,3,5,0,2,2,2,0,0.21,0.31,0.51,0.0,0.31,Matches,https://fbref.com/en/players/33508c78/Cesc-Fabregas,https://fbref.com/req/202302030/images/headshots/33508c78_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Cesc_Fàbregas.jpg
209,Bandiougou Fadiga,fr FRA,MF,Brest,19,2001,4,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/45bb4303/Bandiougou-Fadiga,https://fbref.com/req/202302030/images/headshots/45bb4303_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Bandiougou_Fadiga.jpg
210,Bandiougou Fadiga,fr FRA,MF,Paris Saint-Germain,19,2001,6,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/45bb4303/Bandiougou-Fadiga,https://fbref.com/req/202302030/images/headshots/45bb4303_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Bandiougou_Fadiga.jpg
211,Wout Faes,be BEL,DF,Reims,22,1998,33,33,"2,899",32.2,1,0,1,1,0,0,13,2,0.03,0.0,0.03,0.03,0.03,Matches,https://fbref.com/en/players/9c221d14/Wout-Faes,https://fbref.com/req/202302030/images/headshots/9c221d14_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Wout_Faes.jpg
212,Romain Faivre,fr FRA,"MF,FW",Brest,22,1998,36,33,"2,891",32.1,6,5,11,5,1,1,0,0,0.19,0.16,0.34,0.16,0.31,Matches,https://fbref.com/en/players/745ca0a3/Romain-Faivre,https://fbref.com/req/202302030/images/headshots/745ca0a3_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Romain_Faivre.jpg
213,Wuilker Faríñez,ve VEN,GK,Lens,22,1998,3,1,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2c127b6f/Wuilker-Farinez,https://fbref.com/req/202302030/images/headshots/2c127b6f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Wuilker_Faríñez.jpg
214,Noah Fatar,fr FRA,FW,Angers,18,2002,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2693f6bc/Noah-Fatar,,
215,Julien Faussurier,fr FRA,DF,Brest,33,1987,17,9,955,10.6,0,3,3,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,Matches,https://fbref.com/en/players/767212e6/Julien-Faussurier,https://fbref.com/req/202302030/images/headshots/767212e6_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Julien_Faussurier.jpg
216,Zinedine Ferhat,dz ALG,"MF,FW",Nîmes,27,1993,33,33,"2,957",32.9,6,10,16,5,1,1,2,0,0.18,0.3,0.49,0.15,0.46,Matches,https://fbref.com/en/players/005c0807/Zinedine-Ferhat,https://fbref.com/req/202302030/images/headshots/005c0807_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Zinedine_Ferhat.jpg
217,Jordan Ferri,fr FRA,MF,Montpellier,28,1992,34,31,"2,577",28.6,0,3,3,0,0,0,6,0,0.0,0.1,0.1,0.0,0.1,Matches,https://fbref.com/en/players/375622c5/Jordan-Ferri,https://fbref.com/req/202302030/images/headshots/375622c5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jordan_Ferri.jpg
